iShares Russell 1000 ETF
Fund Holdings as of,"Feb 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"122,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,344,098,489.40","7.17","3,344,098,489.40","17,100,115.00","195.56","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","2,921,068,617.39","6.27","2,921,068,617.39","10,651,893.00","274.23","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,170,763,268.00","4.66","2,170,763,268.00","5,418,780.00","400.60","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","1,476,330,683.04","3.17","1,476,330,683.04","7,008,786.00","210.64","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,328,912,896.50","2.85","1,328,912,896.50","4,247,085.00","312.90","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,121,324,599.23","2.41","1,121,324,599.23","3,374,333.00","332.31","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","1,082,507,198.74","2.32","1,082,507,198.74","3,458,158.00","313.03","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","1,042,810,738.92","2.24","1,042,810,738.92","1,595,268.00","653.69","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","860,509,335.60","1.85","860,509,335.60","2,061,594.00","417.40","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","665,698,948.04","1.43","665,698,948.04","1,347,596.00","493.99","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","602,218,438.69","1.29","602,218,438.69","585,343.00","1,028.83","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","602,005,914.90","1.29","602,005,914.90","1,984,853.00","303.30","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","460,118,408.00","0.99","460,118,408.00","3,086,800.00","149.06","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","431,071,378.35","0.92","431,071,378.35","1,758,255.00","245.17","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","399,734,351.50","0.86","399,734,351.50","3,178,802.00","125.75","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","384,951,095.85","0.83","384,951,095.85","1,229,915.00","312.99","United States","NYSE","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","350,251,473.00","0.75","350,251,473.00","816,437.00","429.00","United States","NASDAQ","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","322,604,647.04","0.69","322,604,647.04","324,304.00","994.76","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","299,405,688.47","0.64","299,405,688.47","587,773.00","509.39","United States","NYSE","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","293,738,409.36","0.63","293,738,409.36","1,294,458.00","226.92","United States","NYSE","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","280,177,087.25","0.60","280,177,087.25","1,714,775.00","163.39","United States","NYSE","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","272,992,819.32","0.59","272,992,819.32","726,876.00","375.57","United States","NYSE","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","260,644,404.60","0.56","260,644,404.60","760,140.00","342.89","United States","NYSE","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","259,137,944.91","0.56","259,137,944.91","338,031.00","766.61","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","256,100,976.90","0.55","256,100,976.90","3,096,747.00","82.70","United States","NASDAQ","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","251,965,062.80","0.54","251,965,062.80","1,367,740.00","184.22","United States","NYSE","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","250,930,862.46","0.54","250,930,862.46","4,854,534.00","51.69","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","248,143,632.62","0.53","248,143,632.62","1,176,817.00","210.86","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","231,263,367.45","0.50","231,263,367.45","585,551.00","394.95","United States","NASDAQ","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","230,163,086.56","0.49","230,163,086.56","2,909,038.00","79.12","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","228,970,249.20","0.49","228,970,249.20","917,790.00","249.48","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","228,740,561.79","0.49","228,740,561.79","2,842,557.00","80.47","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","225,539,725.32","0.48","225,539,725.32","1,841,742.00","122.46","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","216,165,307.80","0.46","216,165,307.80","1,138,911.00","189.80","United States","NYSE","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","214,174,217.88","0.46","214,174,217.88","1,596,052.00","134.19","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","199,338,214.32","0.43","199,338,214.32","2,297,582.00","86.76","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","197,654,437.60","0.42","197,654,437.60","214,520.00","921.38","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","191,670,203.82","0.41","191,670,203.82","978,009.00","195.98","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","188,802,301.80","0.41","188,802,301.80","664,329.00","284.20","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","181,924,221.48","0.39","181,924,221.48","1,230,132.00","147.89","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","174,848,967.97","0.38","174,848,967.97","199,597.00","876.01","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","174,388,961.81","0.37","174,388,961.81","343,103.00","508.27","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","173,790,259.77","0.37","173,790,259.77","521,877.00","333.01","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","169,236,991.32","0.36","169,236,991.32","1,000,396.00","169.17","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","161,477,791.68","0.35","161,477,791.68","679,792.00","237.54","United States","NYSE","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","151,915,509.36","0.33","151,915,509.36","3,085,832.00","49.23","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","151,210,026.54","0.32","151,210,026.54","393,438.00","384.33","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","151,015,997.28","0.32","151,015,997.28","3,221,331.00","46.88","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","148,575,627.48","0.32","148,575,627.48","96,061.00","1,546.68","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","148,141,648.16","0.32","148,141,648.16","1,295,624.00","114.34","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","146,188,930.56","0.31","146,188,930.56","841,472.00","173.73","United States","NYSE","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","145,070,755.48","0.31","145,070,755.48","1,264,123.00","114.76","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","144,854,146.87","0.31","144,854,146.87","1,523,017.00","95.11","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","141,944,253.90","0.30","141,944,253.90","663,601.00","213.90","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","141,619,007.60","0.30","141,619,007.60","275,695.00","513.68","United States","NYSE","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","140,620,063.77","0.30","140,620,063.77","5,045,571.00","27.87","United States","NYSE","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","138,883,873.70","0.30","138,883,873.70","1,322,074.00","105.05","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","135,968,506.56","0.29","135,968,506.56","890,779.00","152.64","United States","NYSE","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","133,797,842.64","0.29","133,797,842.64","909,447.00","147.12","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","130,896,411.75","0.28","130,896,411.75","682,641.00","191.75","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","130,785,309.60","0.28","130,785,309.60","362,487.00","360.80","United States","NASDAQ","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","130,435,453.47","0.28","130,435,453.47","257,691.00","506.17","United States","NASDAQ","USD","1.00","USD","-"
