ticker,company_name,current_price,strike,expiration,days_to_expiry,bid_price,open_interest,investment,premium_received,dividend_income,reinvestment_income,exercise_proceeds,net_profit,net_outlay,total_return,annualized_return,max_drawdown,current_yield,breakeven_price,downside_protection_pct,intrinsic_value,extrinsic_value,annual_dividend,warning_flag,is_aristocrat
ERIE,Erie Indemnity Company,313.25,240,2025-12-19,80,107.6,1,31325,10760,119.73684210526314,0.6419316387034978,24000,3555.3787737439707,20565,0.1728849391560404,1.0700355614910388,-0.42561119451297513,0.017142857142857144,205.65,0.34349561053471667,73.25,34.349999999999994,5.37,FALSE,TRUE
CHD,"Church & Dwight Company, Inc.",86.17,65,2026-01-16,108,32,0,8617,3200,34.78165938864629,0.2519717446494776,6500,1118.0336311332958,5417,0.20639350768567394,0.8853961226526645,-0.3214354212974748,0.013566206336311941,54.17,0.3713589416270164,21.17,10.829999999999998,1.169,FALSE,TRUE
ROP,"Roper Technologies, Inc.",500.96,300,2025-12-19,80,236.2,9,50096,23620,71.73913043478261,0.3846069158787322,30000,3596.123737350659,26476,0.13582579458191038,0.7879680573372856,-0.2784543066565086,0.006437639731715106,264.76,0.4714947301181731,200.95999999999998,35.24000000000001,3.2249999999999996,FALSE,TRUE
DOV,Dover Corporation,166.64,120,2025-12-19,80,57.5,3,16664,5750,45.714285714285715,0.24508284855995402,12000,1131.959368562846,10914,0.1037162697968523,0.5686898645060374,-0.3626721900391609,0.012391982717234759,109.13999999999999,0.3450552088334134,46.639999999999986,10.860000000000014,2.065,FALSE,TRUE
GWW,"W.W. Grainger, Inc.",947.98,700,2026-01-16,108,321,1,94798,32100,266.46288209606985,1.930359806467184,70000,7570.393241902537,62698,0.12074377558937345,0.4699855934576713,-0.246533419437327,0.009093018840059915,626.98,0.33861473870756764,247.98000000000002,73.01999999999998,8.62,FALSE,TRUE
SPGI,S&P Global Inc.,491.34,390,2027-01-15,472,178,2,49134,17800,499.03083700440527,15.993630139728985,39000,8181.024467144132,31334,0.26109097042012297,0.19648626036589478,-0.401590925555447,0.00771359954410388,313.34,0.36227459600276796,101.33999999999997,76.660000000000025,3.79,FALSE,TRUE
LOW,"Lowe's Companies, Inc.",253.32,135,2027-01-15,472,138.15,76,25332,13815,621.0526315789474,19.904353298895174,13500,2623.956984877841,11517,0.2278333754343875,0.1720117827137515,-0.34344633329052243,0.01835622927522501,115.16999999999999,0.5453576504026528,118.32,19.830000000000013,4.6499999999999995,FALSE,TRUE
PPG,"PPG Industries, Inc.",104.02,60,2027-01-15,472,51.5,2,10402,5150,365.0544662309368,11.699770196169755,6000,1124.7542364271067,5252,0.2141573184362351,0.16190402613571941,-0.49728512728782504,0.02643722361084407,52.519999999999996,0.4950970967121708,44.019999999999996,7.480000000000004,2.75,FALSE,TRUE
BEN,"Franklin Resources, Inc.",23.37,15,2027-01-15,472,9.5,136,2337,950,165.25164113785556,5.296213044082392,1500,283.54785418193796,1387,0.2044324831881312,0.1547008537435357,-0.5578556339575262,0.05434317501069747,13.870000000000001,0.4065040650406504,8.370000000000001,1.129999999999999,1.27,FALSE,TRUE
KVUE,Kenvue Inc.,16.34,13,2026-09-18,353,4.3,122,1634,430,79.29157667386609,1.8929729891656504,1300,177.1845496630317,1204,0.14716324722843166,0.1525297497321736,-0.4119999972256749,0.0503671970624235,12.04,0.26315789473684215,3.34,0.96,0.823,FALSE,TRUE
ITW,Illinois Tool Works Inc.,261.38,190,2026-03-20,171,79.6,2,26138,7959.999999999999,278.80434782608694,3.204713396522622,19000,1104.0090612226086,18178,0.06073325235023702,0.13411337852388439,-0.2892398419934471,0.0229550845512281,181.78,0.30453745504629276,71.38,8.219999999999999,6,FALSE,TRUE
CVX,Chevron Corporation,156.1,80,2027-01-15,472,79.95,3,15610,7995,877.3043478260869,28.117062551352355,8000,1290.4214103774393,7615,0.16945783458666308,0.128685152038589,-0.2888593801791535,0.0433055733504164,76.14999999999999,0.5121716848174248,76.1,3.8500000000000085,6.76,FALSE,TRUE
KMB,Kimberly-Clark Corporation,122.66,90,2027-01-15,472,39,6,12266,3900,653.5384615384615,20.945504086837385,9000,1308.4839656252989,8366,0.15640496839891213,0.1189308408857368,-0.28985231248954313,0.040763084950269035,83.66,0.3179520626120985,32.66,6.340000000000003,5,FALSE,TRUE
PG,Procter & Gamble Company (The),153.53,90,2027-01-15,472,70.45,8,15353,7045,547.0438596491227,17.532417864110165,9000,1256.5762775132316,8308,0.15124895010992195,0.11507091968434957,-0.24633093553257196,0.02688725330554289,83.08,0.4588679736859246,63.53,6.920000000000002,4.128,FALSE,TRUE
